id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
5683,5683,183,584,38942,13,12.379408785461328,04/04/2007 07:03:26,04/04/2007 08:46:00,6154,102.566666,1.7094444,7,8
5684,5684,184,585,38942,4,3.3581553579610937,04/04/2007 10:36:47,04/04/2007 10:48:48,721,12.016666,0.20027778,10,10
5751,5751,185,592,39071,13,16.377094271660077,04/04/2007 07:18:58,04/04/2007 08:12:36,3218,53.633335,0.8938889,7,8
5845,5845,186,596,39207,33,18.599200889927992,04/04/2007 10:01:40,04/04/2007 10:50:32,2932,48.866665,0.8144444,10,10
5889,5889,187,600,39269,9,11.731801635271905,04/04/2007 07:51:19,04/04/2007 08:14:47,1408,23.466667,0.3911111,7,8
5918,5918,188,602,39321,8,6.668020346063402,04/04/2007 08:33:06,04/04/2007 09:00:04,1618,26.966667,0.44944444,8,9
5961,5961,189,606,39403,4,5.197486424583718,04/04/2007 05:44:55,04/04/2007 05:56:06,671,11.183333,0.1863889,5,5
6012,6012,190,614,39503,35,11.154848103707534,04/04/2007 07:45:28,04/04/2007 08:08:57,1409,23.483334,0.3913889,7,8
6040,6040,191,616,39522,6,9.331101297503496,04/04/2007 09:00:51,04/04/2007 09:12:17,686,11.433333,0.19055556,9,9
6109,6109,192,625,39629,37,26.76446173402633,04/04/2007 05:40:34,04/04/2007 06:06:31,1557,25.95,0.4325,5,6
6198,6198,193,630,39737,11,16.568560328615565,04/04/2007 05:47:13,04/04/2007 06:28:45,2492,41.533333,0.69222224,5,6
6209,6209,194,631,39756,27,9.201709681280581,04/04/2007 07:10:54,04/04/2007 07:28:17,1043,17.383333,0.28972223,7,7
6250,6250,195,635,39787,10,10.210323140726844,04/04/2007 08:29:25,04/04/2007 09:07:02,2257,37.616665,0.6269444,8,9
6251,6251,196,636,39787,7,6.337239492717583,04/04/2007 09:44:21,04/04/2007 10:21:41,2240,37.333332,0.6222222,9,10
6310,6310,197,639,39822,35,14.350102920553967,04/04/2007 05:01:26,04/04/2007 05:36:41,2115,35.25,0.5875,5,5
6311,6311,198,640,39822,13,12.524704121717283,04/04/2007 07:31:55,04/04/2007 08:05:30,2015,33.583332,0.5597222,7,8
6312,6312,199,641,39822,3,3.0543091245554317,04/04/2007 10:35:14,04/04/2007 10:43:57,523,8.716666,0.14527777,10,10
6352,6352,200,644,39881,7,5.167690066192003,04/04/2007 07:35:11,04/04/2007 07:55:01,1190,19.833334,0.33055556,7,7
6353,6353,201,645,39881,14,16.352998554601065,04/04/2007 08:52:57,04/04/2007 09:36:58,2641,44.016666,0.7336111,8,9
6406,6406,202,648,40025,36,44.330785033829,04/04/2007 05:55:30,04/04/2007 08:38:33,9783,163.05,2.7175,5,8
6407,6407,203,649,40025,5,6.752026294212543,04/04/2007 09:32:50,04/04/2007 09:58:48,1558,25.966667,0.4327778,9,9
6441,6441,204,655,40034,10,12.724859808481744,04/04/2007 06:36:07,04/04/2007 07:32:34,3387,56.45,0.94083333,6,7
6464,6464,205,657,40040,6,8.724504609387695,04/04/2007 07:49:17,04/04/2007 08:18:30,1753,29.216667,0.48694447,7,8
6470,6470,206,659,40052,18,30.81010512028536,04/04/2007 05:10:32,04/04/2007 05:55:04,2672,44.533333,0.7422222,5,5
6503,6503,207,662,40063,4,4.208521180599428,04/04/2007 05:40:46,04/04/2007 05:51:14,628,10.466666,0.17444444,5,5
