id,Name,Cluster 
1840,1840,
1841,1841,
1842,1842,class 1
1843,1843,class 1
1844,1844,class 1
1845,1845,class 1
1846,1846,class 1
1847,1847,class 4
1848,1848,
1849,1849,class 1
1850,1850,class 1
1851,1851,class 1
1852,1852,class 1
1853,1853,class 5
1854,1854,
1855,1855,
1856,1856,class 1
1857,1857,class 5
1858,1858,
1859,1859,
1860,1860,
1861,1861,class 1
1862,1862,class 1
1863,1863,class 1
1864,1864,class 1
1865,1865,class 1
1866,1866,class 1
1867,1867,class 1
1868,1868,class 1
1869,1869,
1870,1870,
1871,1871,
1872,1872,
1873,1873,class 1
1874,1874,class 1
1875,1875,
1876,1876,
1877,1877,
